,Start,Tenor,FS,DF,alpha,rho,nu,CMS
0,0.5Y,10Y,0.03784470473151925,0.9987515605493134,0.17113,-0.264831,0.777658,0.03803701246433737
1,1Y,10Y,0.03842796422487544,0.9970089730807578,0.17113,-0.264831,0.777658,0.03884412877967927
2,1.5Y,10Y,0.039019852121288646,0.9952698594970136,0.171793375,-0.28681475,0.7422019999999999,0.03969061359634182
3,2Y,10Y,0.03963437677316925,0.9935307459132694,0.17245675,-0.3087985,0.706746,0.040587911306934475
4,2.5Y,10Y,0.04019981156324453,0.991772943565779,0.173120125,-0.33078225,0.6712899999999999,0.041457791949026025
5,3Y,10Y,0.04078796534608241,0.9900151412182888,0.1737835,-0.352766,0.635834,0.042371292431073855
6,3.5Y,10Y,0.04141171624866498,0.9880658954667711,0.174446875,-0.37474975,0.600378,0.04333962554539144
7,4Y,10Y,0.04206161799178652,0.9861166497152536,0.17511025000000002,-0.3967335,0.5649219999999999,0.04435074215457475
8,4.5Y,10Y,0.04283088690091592,0.9841503847242372,0.17577362500000002,-0.41871725000000004,0.529466,0.0455066145445044
9,5Y,10Y,0.04363364552748293,0.9821841197332212,0.176437,-0.440701,0.49401,0.0467147290738881
